     0/149       16G   0.09428    0.1058   0.03942    0.2395        75       640 0.0003344   0.03698  5.57e-05 7.507e-06   0.08555   0.07542   0.03816
     1/149       16G   0.08963    0.1099   0.03611    0.2356       126       640    0.5087    0.0142  0.001714 0.0003181   0.08235   0.07629   0.03683
     2/149       16G   0.08185    0.1097   0.03022    0.2218        60       640    0.7937   0.08045   0.04172  0.008356   0.07096   0.08044   0.02996
     3/149       16G   0.07306    0.1063   0.02244    0.2018        64       640    0.1398    0.2007   0.08295   0.01628   0.07187   0.07358   0.02365
     4/149       16G   0.06715    0.1033   0.01548     0.186        56       640     0.147     0.214   0.08632   0.01812    0.0723   0.07121   0.02236
     5/149       16G     0.064    0.1014   0.01267    0.1781        61       640    0.2858    0.3668    0.2538   0.06462   0.05958   0.07256   0.01554
     6/149       16G   0.06204    0.1019   0.01113    0.1751       101       640    0.2636    0.3419    0.2122   0.04987   0.06208   0.07086   0.01348
     7/149       16G   0.06038   0.09988   0.01025    0.1705        47       640    0.2807    0.3718    0.2401   0.05712   0.06087   0.07143   0.01394
     8/149       16G   0.05911     0.101   0.00958    0.1697        73       640    0.3206    0.2385    0.1756   0.04352   0.06545    0.0753   0.01924
     9/149       16G   0.05788    0.1006  0.008883    0.1674        75       640    0.3295    0.3246    0.2442   0.06653   0.05909   0.07928   0.01307
    10/149       16G   0.05711    0.1001  0.008433    0.1656        73       640    0.3783    0.3836    0.3246   0.08712   0.05602   0.07161   0.01186
    11/149       16G   0.05626   0.09923  0.008155    0.1636        58       640    0.3529    0.3534    0.2802   0.07492   0.05946   0.07055   0.01316
    12/149       16G   0.05585   0.09862  0.007861    0.1623        71       640    0.4093    0.4341    0.3657   0.09802   0.05482   0.06866   0.01007
    13/149       16G    0.0554   0.09799  0.007678    0.1611        67       640    0.3606    0.3376    0.2838   0.07765   0.05904    0.0722   0.01666
    14/149       16G   0.05501   0.09782  0.007503    0.1603        44       640    0.4124    0.4298    0.3805    0.1061   0.05429   0.06715   0.01044
    15/149       16G   0.05456   0.09763  0.007198    0.1594        59       640    0.4083    0.4073    0.3549    0.0973   0.05548   0.06798   0.01308
    16/149       16G   0.05434   0.09665  0.007135    0.1581        43       640    0.4025    0.4166    0.3638    0.1016   0.05539   0.06703   0.01059
    17/149       16G   0.05403    0.0955  0.007026    0.1566        81       640    0.4281    0.4615    0.4038    0.1141   0.05395    0.0659  0.009034
    18/149       16G   0.05384   0.09612  0.006852    0.1568        68       640    0.4317    0.4592    0.4009    0.1142   0.05336   0.06667  0.009003
    19/149       16G   0.05355   0.09672  0.006769     0.157        65       640    0.4263    0.4242    0.3824    0.1048   0.05472   0.06852   0.01182
    20/149       16G   0.05336   0.09672  0.006642    0.1567       111       640     0.408    0.4362    0.3796    0.1058   0.05394   0.06771   0.01112
    21/149       16G   0.05324   0.09654  0.006557    0.1563        56       640    0.4827    0.4395    0.4198    0.1204   0.05293   0.06698  0.009029
    22/149       16G    0.0529   0.09685  0.006294     0.156        91       640      0.44    0.4393    0.3994    0.1138   0.05444   0.06703  0.009291
    23/149       16G   0.05286   0.09601  0.006231    0.1551        66       640    0.3874    0.3904    0.3327   0.08993   0.05664   0.06692   0.01165
    24/149       16G   0.05262    0.0954  0.006218    0.1542        50       640    0.4549     0.476    0.4276    0.1224   0.05334   0.06601  0.007807
    25/149       16G   0.05263   0.09543  0.006162    0.1542        93       640    0.4328    0.4314    0.3905    0.1116   0.05346   0.06735   0.01059
    26/149       16G   0.05255    0.0969  0.006184    0.1556       121       640    0.4312    0.4613     0.399    0.1112   0.05485   0.06684  0.009153
    27/149       16G   0.05216   0.09481  0.006021     0.153       119       640    0.4082    0.4429    0.3866    0.1114   0.05391   0.06702   0.01007
    28/149       16G   0.05198   0.09526  0.005821    0.1531       129       640    0.4007    0.4214    0.3613    0.1013   0.05476   0.06821   0.01012
    29/149       16G   0.05198   0.09454  0.005864    0.1524       104       640    0.4453    0.4695    0.4229     0.124   0.05255   0.06577  0.009343
    30/149       16G   0.05188   0.09497  0.005818    0.1527        75       640    0.4072    0.4596    0.3907    0.1103   0.05508   0.06579   0.00875
    31/149       16G    0.0518     0.095  0.005899    0.1527       109       640    0.4303    0.4751    0.4144    0.1192   0.05388   0.06608  0.008217
    32/149       16G   0.05155   0.09457  0.005531    0.1516       108       640    0.4675     0.462    0.4231    0.1225   0.05228   0.06603  0.008481
    33/149       16G    0.0514   0.09338  0.005555    0.1503        84       640    0.4431    0.4852     0.425    0.1223   0.05329   0.06579  0.008188
    34/149       16G   0.05136   0.09455  0.005597    0.1515        74       640    0.4497    0.4846    0.4314     0.125     0.052   0.06664  0.008148
    35/149       16G   0.05128   0.09401  0.005486    0.1508        84       640    0.4361    0.4868    0.4157    0.1189   0.05365   0.06615  0.007511
    36/149       16G   0.05106   0.09399  0.005402    0.1504        58       640    0.4791    0.4574    0.4231    0.1226   0.05293   0.06636  0.008679
    37/149       16G   0.05104   0.09409  0.005357    0.1505        76       640    0.4689    0.5015    0.4472    0.1305   0.05209   0.06597  0.007714
    38/149       16G   0.05077   0.09366  0.005309    0.1497        73       640    0.4625    0.4982    0.4436    0.1289   0.05227   0.06605  0.007969
    39/149       16G   0.05079   0.09422  0.005264    0.1503        54       640      0.48    0.4871    0.4464      0.13   0.05183    0.0657  0.007655
    40/149       16G   0.05065   0.09397  0.005156    0.1498        91       640    0.4722    0.4666    0.4349    0.1272    0.0526   0.06582  0.007913
    41/149       16G   0.05052   0.09315  0.005189    0.1489        53       640    0.4874    0.4757    0.4421      0.13   0.05259   0.06571  0.007704
    42/149       16G   0.05048    0.0925  0.005142    0.1481        89       640    0.4656    0.5026    0.4444    0.1321   0.05233   0.06549  0.007314
    43/149       16G   0.05038   0.09338  0.005055    0.1488        54       640    0.5152    0.4659    0.4525    0.1351   0.05182   0.06572  0.007585
    44/149       16G    0.0502   0.09234  0.004978    0.1475        81       640    0.4687    0.4912     0.438    0.1312   0.05224   0.06584  0.008115
    45/149       16G   0.05015   0.09372  0.004893    0.1488        80       640    0.4736    0.4854    0.4389    0.1282   0.05238   0.06598  0.008342
    46/149       16G   0.05002   0.09189  0.004915    0.1468        73       640       0.5    0.4828    0.4554    0.1358   0.05181   0.06571  0.007472
    47/149       16G   0.04986   0.09292   0.00478    0.1476        91       640    0.5112      0.48    0.4543    0.1346    0.0518   0.06595  0.007143
    48/149       16G   0.04988   0.09297   0.00485    0.1477       102       640     0.496    0.4682    0.4344    0.1289   0.05241   0.06592  0.008013
    49/149       16G   0.04974   0.09202  0.004849    0.1466        83       640    0.4577    0.5199    0.4472     0.134   0.05185   0.06636  0.007332
    50/149       16G   0.04967   0.09124  0.004688    0.1456        71       640     0.469    0.5036    0.4397    0.1288   0.05235   0.06628  0.006866
    51/149       16G   0.04952   0.09229    0.0047    0.1465        80       640    0.4765     0.503    0.4421    0.1294   0.05262     0.066  0.007068
    52/149       16G   0.04947   0.09137  0.004682    0.1455        66       640    0.4702    0.4883    0.4364    0.1286   0.05226   0.06604  0.007765
    53/149       16G   0.04929   0.09205  0.004501    0.1458        67       640    0.5087    0.4772    0.4528    0.1328   0.05203   0.06616  0.007206
    54/149       16G   0.04911   0.09116  0.004521    0.1448       103       640    0.4866    0.5169    0.4555    0.1359    0.0519   0.06604   0.00804
    55/149       16G   0.04917   0.09134  0.004488     0.145        70       640    0.5057    0.4814    0.4534    0.1337   0.05203    0.0661  0.007289
    56/149       16G   0.04895   0.08899   0.00457    0.1425        80       640    0.4984    0.4913    0.4521    0.1348   0.05195   0.06598  0.006796
    57/149       16G   0.04898   0.09033  0.004465    0.1438        73       640    0.4801    0.4875     0.442    0.1302    0.0522   0.06675  0.007701
    58/149       16G   0.04874   0.08959  0.004421    0.1428        66       640    0.4616    0.4963    0.4333     0.126   0.05239   0.06682  0.007638
    59/149       16G   0.04878   0.09045  0.004473    0.1437        82       640    0.4978    0.4689    0.4372    0.1276   0.05267   0.06708  0.007509
    60/149       16G   0.04851   0.09086  0.004393    0.1438       116       640     0.477    0.4946    0.4392      0.13   0.05219   0.06681  0.008092
    61/149       16G   0.04849   0.09041  0.004192    0.1431        62       640    0.4795    0.4842    0.4317    0.1275   0.05259   0.06707  0.007718
    62/149       16G   0.04836    0.0899  0.004284    0.1425        81       640    0.4968    0.4849    0.4441    0.1315   0.05212   0.06682  0.007518
    63/149       16G   0.04817    0.0892  0.004169    0.1415        73       640    0.4769    0.5021    0.4354    0.1288   0.05227   0.06712  0.007668
    64/149       16G   0.04815   0.08875  0.004173    0.1411        54       640    0.4825    0.4964    0.4434    0.1312   0.05257   0.06714  0.007401
    65/149       16G    0.0481   0.09037  0.004085    0.1426        96       640    0.4892    0.5013     0.445    0.1317   0.05231   0.06682  0.007397
    66/149       16G   0.04793   0.08873   0.00407    0.1407        53       640    0.4667    0.5111    0.4353    0.1294   0.05222   0.06691  0.007989
    67/149       16G   0.04787   0.08877  0.004018    0.1407        79       640     0.461    0.5056    0.4378      0.13   0.05247   0.06705  0.008136
    68/149       16G   0.04769   0.08847  0.003943    0.1401        76       640    0.4858    0.4892    0.4359    0.1286   0.05252   0.06735  0.007741
    69/149       16G   0.04755   0.08913  0.003948    0.1406        69       640    0.4783    0.4871    0.4306     0.128    0.0524   0.06762  0.007488
    70/149       16G   0.04752   0.08825  0.003912    0.1397        53       640    0.4878    0.4905    0.4347    0.1285   0.05239   0.06782  0.007856
    71/149       16G   0.04744   0.08857  0.003746    0.1398        82       640    0.4837    0.4936    0.4359     0.129   0.05246   0.06771   0.00796
    72/149       16G   0.04719   0.08793  0.003937     0.139        80       640     0.484     0.485    0.4341    0.1292   0.05245   0.06756  0.007995
    73/149       16G   0.04707   0.08737  0.003708    0.1381        52       640    0.4851    0.4889    0.4386    0.1296   0.05243   0.06756   0.00787
    74/149       16G   0.04712   0.08735  0.003685    0.1381        59       640    0.4943    0.4836    0.4348    0.1299   0.05249    0.0679  0.007849
    75/149       16G   0.04688   0.08782  0.003653    0.1383        81       640    0.4888    0.5008    0.4373    0.1288   0.05267   0.06806  0.007664
    76/149       16G   0.04681   0.08753  0.003668     0.138        80       640    0.5133    0.4811    0.4458    0.1315   0.05257   0.06808  0.007845
    77/149       16G   0.04647   0.08741  0.003552    0.1374        64       640    0.4846     0.513    0.4412    0.1311    0.0526   0.06838  0.007717
    78/149       16G   0.04656   0.08735  0.003561    0.1375       101       640    0.5131    0.4766    0.4412    0.1303    0.0527   0.06873  0.007826
    79/149       16G   0.04637   0.08637  0.003566    0.1363        83       640    0.4857    0.4968    0.4387    0.1295   0.05267   0.06897  0.007793
    80/149       16G   0.04636   0.08682  0.003608    0.1368        58       640    0.5035    0.4748    0.4311     0.127   0.05266    0.0688  0.007811
    81/149       16G   0.04625   0.08623  0.003469     0.136        85       640    0.4773    0.4952    0.4243    0.1244     0.053   0.06928  0.008093
    82/149       16G   0.04603   0.08568  0.003449    0.1352        96       640    0.4752    0.4867    0.4239    0.1246   0.05292   0.06922  0.008304
    83/149       16G   0.04594    0.0863  0.003333    0.1356        80       640    0.4702    0.4966    0.4241    0.1246   0.05292   0.06927  0.008229
    84/149       16G   0.04585    0.0856  0.003315    0.1348        93       640    0.4735     0.489    0.4221    0.1238   0.05294   0.06951  0.008313
    85/149       16G   0.04555   0.08497  0.003258    0.1338        91       640    0.4605    0.4925    0.4174    0.1239   0.05298   0.06961  0.008624
    86/149       16G    0.0455   0.08489  0.003241    0.1336        67       640    0.4753    0.4893    0.4212    0.1251     0.053   0.06991  0.008571
    87/149       16G   0.04532   0.08447  0.003276    0.1331       115       640    0.4756    0.4868    0.4219    0.1247   0.05309   0.07002  0.008592
    88/149       16G    0.0452   0.08474  0.003292    0.1332        77       640    0.4668    0.4887    0.4163    0.1235   0.05316   0.07033  0.008452
    89/149       16G    0.0451   0.08416  0.003213    0.1325        91       640    0.4768    0.4825     0.419    0.1237   0.05318   0.07033  0.008628
    90/149       16G   0.04504   0.08411  0.003137    0.1323        96       640    0.4866    0.4783     0.419    0.1236   0.05331   0.07029  0.008689
    91/149       16G   0.04499   0.08401  0.003116    0.1321       102       640    0.4652    0.4906    0.4149    0.1227   0.05343   0.07053  0.008731
    92/149       16G   0.04484   0.08346  0.003127    0.1314        60       640    0.4727    0.4917    0.4173     0.123   0.05345    0.0706   0.00855
    93/149       16G   0.04473   0.08246  0.003038    0.1302        87       640    0.4679    0.4971    0.4171    0.1226   0.05335   0.07072  0.008515
    94/149       16G   0.04454    0.0825    0.0031    0.1301        69       640    0.4835    0.4821    0.4171    0.1231   0.05344   0.07082  0.008465
    95/149       16G   0.04433   0.08328  0.002988    0.1306        93       640    0.4776    0.4848    0.4176    0.1235   0.05342   0.07083  0.008512
    96/149       16G   0.04417    0.0822  0.002926    0.1293        88       640    0.4745    0.4899    0.4177    0.1231   0.05344   0.07094   0.00852
    97/149       16G    0.0441    0.0821  0.002941    0.1291        82       640    0.4886    0.4774    0.4192    0.1235   0.05351   0.07116  0.008622
    98/149       16G   0.04405   0.08277  0.002974    0.1298        49       640    0.4936    0.4748    0.4177     0.123   0.05346   0.07124  0.008681
    99/149       16G   0.04396   0.08193  0.002808    0.1287       100       640    0.4909    0.4733    0.4152    0.1228    0.0535   0.07134  0.008796
   100/149       16G   0.04386   0.08208  0.002881    0.1288       136       640    0.5055    0.4587    0.4132     0.122   0.05356   0.07154  0.008884
   101/149       16G   0.04366   0.08067  0.002722     0.127        88       640    0.5051    0.4585     0.413    0.1219   0.05359   0.07157  0.008903
   102/149       16G   0.04349   0.08058  0.002753    0.1268        71       640    0.4974     0.465    0.4119     0.121   0.05371   0.07171  0.009014
   103/149       16G   0.04324   0.08028  0.002716    0.1262        70       640    0.4847    0.4739    0.4099    0.1209   0.05377   0.07199  0.009094
   104/149       16G   0.04325    0.0823  0.002674    0.1282        75       640     0.491    0.4696    0.4105    0.1207   0.05382   0.07226  0.009167
   105/149       16G    0.0431    0.0794  0.002663    0.1252        94       640    0.4897    0.4735    0.4102    0.1206   0.05387   0.07242  0.009223
   106/149       16G   0.04298   0.08039   0.00269    0.1261        73       640    0.4864    0.4739    0.4091    0.1201   0.05395    0.0726   0.00932
   107/149       16G   0.04284   0.07989  0.002574    0.1253        60       640    0.4855     0.471    0.4082    0.1195   0.05399   0.07271  0.009365
   108/149       16G   0.04264    0.0802  0.002588    0.1254        91       640    0.4746    0.4813    0.4094    0.1197   0.05405   0.07286  0.009261
   109/149       16G    0.0426     0.079  0.002576    0.1242        78       640    0.4672    0.4883    0.4097    0.1194    0.0541   0.07304  0.009294
   110/149       16G   0.04247   0.07925  0.002529    0.1243        71       640    0.4699    0.4825    0.4075    0.1191   0.05416   0.07326  0.009298
   111/149       16G   0.04227   0.07828   0.00253    0.1231        53       640    0.4814    0.4717    0.4067    0.1193    0.0542   0.07337  0.009264
   112/149       16G   0.04212   0.07908  0.002537    0.1237        86       640    0.5021    0.4538    0.4072    0.1193   0.05424   0.07361  0.009268
   113/149       16G   0.04206   0.07863  0.002498    0.1232       101       640    0.4765    0.4753    0.4048     0.119   0.05425   0.07374  0.009332
   114/149       16G   0.04194    0.0774  0.002467    0.1218        67       640    0.4717    0.4801    0.4048    0.1191   0.05427    0.0739  0.009361
   115/149       16G   0.04175   0.07778  0.002435     0.122        70       640    0.4872    0.4655    0.4045    0.1192   0.05426   0.07403  0.009426
   116/149       16G    0.0416   0.07833  0.002368    0.1223        60       640    0.4933    0.4615    0.4036    0.1191   0.05428    0.0742  0.009486
   117/149       16G   0.04154   0.07666  0.002375    0.1206       109       640    0.4874    0.4678    0.4032    0.1188   0.05431   0.07434  0.009545
